Subject,Body
"""ABC - TEST Industries Pension Scheme - Death Notification ""","""
From: testfund@fincorp.com
Sent: 07 October 2020 15:47
To: testscheme@fincorp.com
Subject: ABC - TEST Industries Pension Scheme - Death Notification

No NINO as previously stated
DOB – 01/01/1400

TEST FUND

From: testscheme@fincorp.com
Sent: 06 October 2020 17:23
To: testfund@fincorp.com
Subject: ABC - TEST Industries Pension Scheme - Death Notification

Hi TEST FUND,

Please provide member's dob and NINO as we are unable to locate member's record within the above scheme

Regards,
TEST SCHEME

From: testfund@fincorp.com
Sent: 02 October 2020 14:14
To: testscheme@fincorp.com
Subject: ABC - TEST Industries Pension Scheme - Death Notification

Condolence pack will need to be sent to

10 Test Road,
Test Street,
AA12 123

TEST FUND

From: testscheme@fincorp.com
Sent: 02 October 2020 09:42
To: testfund@fincorp.com
Subject: ABC - TEST Industries Pension Scheme - Death Notification

Hi TEST FUND,

Can you check and assist is there any work required from CSC team or not.

Regards

TEST SCHEME


From: testfund@fincorp.com
Sent: 30 September 2020 14:30
To: testscheme@fincorp.com
Subject: ABC - TEST Industries Pension Scheme - Death Notification

Hello,

Member’s SP does not have a NINO so I am unable to create a job, please complete death process

Death Notification
Preserved pension
IDU CHECK PASS

SLA Quoted

Date member passed 01/01/1400
Date the Death was registered: cannot remember
Members Forename: ABC
What address did you/ will you use to register the death:
10 Test Road,
Test Street,
AA12 123

Did the member have any financial dependants or a spouse?
Husband – XYZ
Address for condolence pack:
10 Test Road,
Test Street,
AA12 123

Did the member leave a will? Yes
If yes - can I take the name of the executor?
Husband - XYZ

TEST FUND

"""
"""ABC XYZ, deceased""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: Thursday, November 19, 2020 9:28 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: ABC XYZ, deceased
 
Dear Sirs
 
We refer to the above and attach a letter and grant of probate for ABC XYZ, the originals of the attached will be sent out in the post this evening. 
 
We look forward to hearing from you. 
 
Yours faithfully 
 
ABC XYZ
Fin Corp Ltd.
T: +91 012345678
E: test.pensions@pensions.com 
10 Test Road, Test Street, AA12 123
 
 
"""
"""Beneficiaries Data Form""","""
From: abc.xyz@testmail.com
Sent: 03 October 2020 18:51
To: test.pensions@pensions.com
Subject: Beneficiaries Data Form

Name: LMNO
NI Number: ZZ123123Z
Reference: TST12345678

Hello,

Please find attached the beneficiaries application. If you have any questions and you can, best to email to me at this email address otherwise contact my mother at the address on the application.

Thank you,

ABC XYZ
"""
"""Death of a Pensioner – LMN""",""" 
From: abc.xyz@testmail.com
Sent: 14 December 2020 13:04
To: test.pensions@pensions.com
Subject: Death of a Pensioner – LMN
 

NINO - ZZ123123Z
DOB - 01/01/1400
Date of Death - 01 January 1400
Reference - TST12345678

Spouse or Partner - No 

Informant - daughter 
Mrs DEF 
10 Test Road,
Test Street,
AA12 123

Tel +91 012345678

I have been informed of the above members death. Could you please cease payment and contact the informant for the death certificate. 

Kind regards
ABC
"""
"""Estate of ***** - TEST Pension Ref: TST12345678 Tees:00123456789000""","""
From: test.ifa@fincorp.com
Sent: 08 October 2020 09:24
To: test.pensions@pensions.com
Subject: RE: Estate of ***** - TEST Pension Ref: TST12345678 Tees:00123456789000

Dear TEST PENSIONS

Thank you for your email.

However, I am confused. TEST’s letter of 28th September has been received and my letter sent by email on 5th October acknowledged this.

My letter of 5th October 2020 also provided the bank account details for Mr LMNO (spouse of the deceased) as requested in the letter from TEST.

Please confirm that the funeral benefit is now being processed and will be sent to Mr LMNO shortly.

Please also let me have details of your complaints procedure, as this is now, completely unacceptable.

I look forward to hearing from you.

Yours sincerely

TEST IFA

From: test.pensions@pensions.com
Sent: 08 October 2020 07:10
To: test.ifa@fincorp.com
Subject: Estate of ***** - TEST Pension Ref: TST12345678 Tees:00123456789000

Dear TEST IFA

TEST Pension Fund

Thank you for your email regarding the TEST Pension Fund.

I have checked our records and can confirm that the correspondence was issued to you on 28 September 2020. However I have attached correspondence for your reference.

If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com<mailto:test.pensions@pensions.com>.

Yours sincerely
TEST PENSIONS



From: test.ifa@fincorp.com
Sent: 05 October 2020 22:23
To: test.pensions@pensions.com
Subject: Estate of ***** - TEST Pension Ref: TST12345678 Tees:00123456789000
Importance: High


Dear Sirs

Please find attached our letter to you of today’s date.

We look forward to receiving confirmation of the payment to Mr LMNO shortly.

Yours faithfully

TEST IFA
"""
"""FW: ABC XYZ""",""" 
 
From: Test Pensions <test.pensions@pensions.com>
Sent: Tuesday, November 17, 2020 3:49 PM
To: ABC XYZ<abc.xyz@testmail.com>
Cc: Test Pensions Helpdesk <Cowley@mercer.com>
Subject: RE: ABC XYZ
 
Hello ABC XYZ,
 
We are sad to hear about ABC XYZ’s passing.
 
For us to assist you further, would you be able to confirm ABC XYZ’s and your CGI staff number?
 
We don’t seem to find your records in our system.
 
Please be advised that we will progress by closing the case shall we not received a response from your end within 7 business/working days.
 
Thank you.
 
Kind regards,
 
ABC XYZ
Fin Corp
United Kingdom
 
From: ABC XYZ
Sent: Friday, November 13, 2020 3:10 PM
To: test.pensions@pensions.com 
Subject: Re: ABC XYZ
 
 
Hi
I have not yet received the documents you require me to fill in to process my request. However I have found in ABC XYZ's legal papers the expression of wish form that was drafted in 2012.
 
Please let me know the documents you need me to provide. 
 
Best regards ,
ABC XYZ
 
Le mar. 10 nov. 2020 à 09:18, ABC XYZ<abc.xyz@testmail.com> a écrit :
	Hi,
	 
	I am writing to you today to inform you of ABC XYZ's (born 01 Jan 1400) death on June 1, im Manilla Philippines.
	I am his ex-wife Sandrine Bessiere-Smith. I worked for Fin Corp  UK (empl# 1235) and Fin Corp Sweden then Fin Corp 2 UK (empl # 123) from 1994 to 2001. Michael was employed by Fin Corp in Sweden and the UK as well, prior to the CGI acquisition. 
	 
	I recently received his personal papers and I have gone through his UK pension papers and while I know he did not request his pension paid when he left to the Philippines (since he was still working when he passed), I wonder if there would be any money owed to his son, next of kin. I do not have the details of any policy with Fin Corp. Michael's NIN was ZZ123123Z.
				
	Would you be able to help me with this ? I have a lot of documentation to provide such as Death and medical certificate, passport copy, birth certificate, proof of next of kin, marriage and divorce certificate, last known address, etc...
	 
	Many thanks,
	 
	ABC XYZ
	 
	---------- Forwarded message ---------
	De : ABC XYZ<abc.xyz@testmail.com>
	Date: mar. 10 nov. 2020 à 08:47
	Subject: RE: ABC XYZ
	To: ABC XYZ<abc.xyz@testmail.com>
	 
	Dear ABC,
	We are sad to hear about ABC’s passing. Please feel free to directly get in touch with this company who handles pensions.
	
	Fin Corp Ltd.
	10 Test Road, Test Street, AA12 123, 
	Helpline: +91 012345678
	fin.corp@testmail.com <mailto:fin.corp@testmail.com> 
	
	
	
	Query Team, UK
	 
	From: ABC XYZ<abc.xyz@testmail.com>          
	Sent: Monday, November 9, 2020 4:29 PM
	To: Test Pension Fund <testfund@fincorp.com>
	Subject: ABC XYZ
	 
	 
	Hi,
	I am writing to you today to inform you of ABC XYZ's (born 01 Jan 1400) death on Jan 1st. 
	I am his ex-wife ABC XYZ. I worked for Fin Corp UK (empl# 12345) and Fin Corp Sweden then Fin Corp UK (empl # 123 from 1994 to 2001. ABC was employed in Sweden and the UK as well, prior to the Fin Corp acquisition. 
	 
	He died in the Philippines and I just received all his documents sent to me in France.
	 
	I have gone through his UK pension papers and while I know he did not request his pension paid when he left to the Philippines, I wonder if there would be any money owner to his son, next of kin. I do not have the details of any policy with Fin Corp.
				
	 
	Would you be able to help me with this ?
	 
	many thanks,
	 
	
	ABC XYZ
"""
"""FW: Death in Retirement""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com> 
Sent: Friday, November 20, 2020 9:18 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Death in Retirement
 
Hi, can you help?
 
My Father, ABC XYZ, is a retired employee of Fin Corp, he retired approximately 30 years ago’ and is a member of the Test Pension Plan.
DOB – 01/01/1400. NI No. ZZ123123Z PAYE Ref TST12345678 Pension Payroll No. TST12345678
Address: 10 Test Road, Test Street, AA12 123
 
He is now 89 years of age, and sadly in hospital receiving palliative care and is not expected to survive more than a few days.
Who do I need to inform after he dies, and as he will be survived by his wife, will she be eligible for any benefit after his death, importantly we are trying to put a care package in place for my Mum,
as she herself has healthcare needs.
 
Thank you for your help
 
ABC XYZ
"""
"""FW: Funeral Receipt for ABC XYZ""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: Thursday, November 19, 2020 8:21 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Funeral Receipt for ABC XYZ
 
 
To whom it may concern, 
 
Please find attached the funeral receipt of my father,
MR ABC XYZ
Ref: TST12345678
 
Regards
 
Mr ABC XYZ (son)
 
 
 
Sent from my Galaxy
 
"""
"""FW: *PRE-IDENTIFIED USER SUPPORT REQUEST*""","""

-----Original Message-----
From: Test Pensions <test.pensions@pensions.com>
Sent: Sunday, November 22, 2020 9:54 PM
To: test.pensions@pensions.com
Subject: *PRE-IDENTIFIED USER SUPPORT REQUEST*

Reply e-mail address: abc.xyz@testmail.com
Forename: ABC
Surname: XYZ
NI Number: ZZ123123Z
DOB: 01 Jan 1400
Home Postcode: AA12 123
Employer: Fin Corp
Subject: Beneficiaries
Content: I would be grateful if you could let me know the details of how much my wife would receive as a pension in the event of  my death. 

I am not planning on doing this anytime soon but it we need this information for future planning.

mant thanks 


ABC XYZ

"""
"""FW: Ref TST12345678 Mr ABC XYZ Deceased""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: Sunday, November 22, 2020 9:27 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Ref TST12345678 Mr ABC XYZ Deceased
 
Please find attached a copy of your letter and the completed Bank Mandate Form as requested. I will also post the originals to Fin Corp, AA12 123
 
Kind regards
ABC XYZ
Daughter and Executor of the will
 
"""
